age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,income_qcut,income_level,spending_qcut,spending_score_level,purchase_frequency_qcut,purchase_frequency_level,membership_years_qcut,membership_years_level,last_purchase_amount_qcut,last_purchase_amount_qcut_level,score_final,score_final_qcut,score_final_qcut_level
38,Female,99342,90.0,3.0,24.0,Groceries,113.53,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
21,Female,78852,60.0,2.0,42.0,Unknown,41.93,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
60,Female,126573,30.0,2.0,28.0,Clothing,424.36,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
40,Other,47099,74.0,9.0,5.0,Unknown,991.93,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(0.999, 15.5]",1,"(8.0, 10.0]",4,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
65,Female,140621,21.0,3.0,25.0,Electronics,347.08,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(232.75, 492.32]",2,10,"(5.999, 11.0]",bronze
31,Other,57305,24.0,3.0,30.0,Home & Garden,86.85,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,7,"(5.999, 11.0]",bronze
19,Other,54319,68.0,5.0,43.0,Clothing,191.72,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
43,Male,108115,94.0,9.0,27.0,Groceries,734.56,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(492.32, 736.37]",3,17,"(13.0, 20.0]",ouro
53,Male,98053,29.0,6.0,7.0,Sports,951.71,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
55,Female,45839,55.0,7.0,2.0,Electronics,821.18,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(736.37, 998.98]",4,12,"(11.0, 13.0]",prata
23,Other,69659,16.0,7.0,24.0,Unknown,434.97,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(232.75, 492.32]",2,10,"(5.999, 11.0]",bronze
68,Other,30058,91.0,1.0,49.0,Groceries,889.94,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
29,Female,87461,81.0,3.0,27.0,Home & Garden,101.07,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
